name,region,zone,address,postal,email,phone,website,type
Admiralty Primary School,Woodlands,NORTH,11 Woodlands Circle,S738907,admiralty_ps@moe.edu.sg,63620598,https://admiraltypri.moe.edu.sg/,Government
Ahmad Ibrahim Primary School,Yishun,NORTH,10 Yishun Street 11,S768643,aips@moe.edu.sg,67592906,http://www.ahmadibrahimpri.moe.edu.sg,Government
Anchor Green Primary School,Seng Kang,NORTH,31 Anchorvale Drive,S544969,anchorgreen_ps@moe.edu.sg,68861356,http://www.anchorgreenpri.moe.edu.sg,Government
Anderson Primary School,Ang Mo Kio,NORTH,19 Ang Mo Kio Ave 9,S569785,anderson_ps@moe.edu.sg,64560340,http://www.andersonpri.moe.edu.sg,Government
Ang Mo Kio Primary School,Ang Mo Kio,NORTH,20 Ang Mo Kio Avenue 3,S569920,amokpri@moe.edu.sg,64569411,http://www.amokpri.moe.edu.sg,Government
Aspiration Primary School,Seng Kang,NORTH,1 Punggol Field,S828849,aspiration_ps@moe.edu.sg,65883700,http://www.aspirationpri.moe.edu.sg,Government
Braddell Heights Primary School,Ang Mo Kio,NORTH,1 Braddell Heights,S569689,braddell_ps@moe.edu.sg,64569555,http://www.braddellpri.moe.edu.sg,Government
Canberra Primary School,Sembawang,NORTH,21 Admiralty Drive,S757714,canberra_ps@moe.edu.sg,64525622,http://www.canberrapri.moe.edu.sg,Government
Chua Chu Kang Primary School,Chua Chu Kang,NORTH,78 Chua Chu Kang Crescent,S679538,cck_ps@moe.edu.sg,67691266,http://www.chuachukangpri.moe.edu.sg,Government
Compassvale Primary School,Seng Kang,NORTH,1 Compassvale Street,S545051,compassvale_ps@moe.edu.sg,68449899,http://www.compassvalepri.moe.edu.sg,Government
Fengshan Primary School,Ang Mo Kio,NORTH,290 Ang Mo Kio Street 21,S569916,fengshan_ps@moe.edu.sg,64557511,http://www.fengshanpri.moe.edu.sg,Government
Gan Eng Seng School,Novena,CENTRAL,2A Gan Eng Seng Road,S309708,ganseng_sch@moe.edu.sg,64620233,http://www.ganengseng.moe.edu.sg,Government-Aided
Greendale Primary School,Seng Kang,NORTH,1B Sengkang Square,S545034,greendale_ps@moe.edu.sg,68440000,http://www.greendalepri.moe.edu.sg,Government
Green Valley Primary School,Seng Kang,NORTH,1 Rivervale Crescent,S545014,greenvalley_ps@moe.edu.sg,68441155,http://www.greenvalleypri.moe.edu.sg,Government
Henry Park Primary School,Yung Ho,NORTH,311 Choa Chu Kang Road,S680311,henrypark_ps@moe.edu.sg,67691911,http://www.henryparkpri.moe.edu.sg,Government
Hougang Primary School,Hougang,NORTH-EAST,2 Hougang Avenue 7,S538753,hougang_ps@moe.edu.sg,62835556,http://www.housangpri.moe.edu.sg,Government
Innova Primary School,Seng Kang,NORTH,1 Innova Road,S545075,innova_ps@moe.edu.sg,68440011,http://www.innovapri.moe.edu.sg,Government
Jing Shan Primary School,Ang Mo Kio,NORTH,10 Jalan Lojing,S639278,jingshan_ps@moe.edu.sg,64598398,http://www.jingshanpri.moe.edu.sg,Government
Kranji Primary School,Yung Ho,NORTH,Kranji Road,S690034,kranji_ps@moe.edu.sg,67898080,http://www.kranjipri.moe.edu.sg,Government
Lakeside Primary School,Punggol,NORTH-EAST,1 Punggol Field,S828649,lakeside_ps@moe.edu.sg,65881700,http://www.lakesidepri.moe.edu.sg,Government
Lentor Primary School,Yio Chu Kang,NORTH,1 Lentor Road,S567667,lentor_ps@moe.edu.sg,64505599,http://www.lentorpri.moe.edu.sg,Government
Mayflower Primary School,Chua Chu Kang,NORTH,1 Chua Chu Kang Road,S689175,mayflower_ps@moe.edu.sg,67898888,http://www.mayflopri.moe.edu.sg,Government
Neesoon Primary School,Serangoon,NORTH-EAST,1 Neesoon Road,S527409,neesoon_ps@moe.edu.sg,62841600,http://www.neesoonpri.moe.edu.sg,Government
Orchid Primary School,Sembawang,NORTH,1 Orchid Avenue,S757734,orchid_ps@moe.edu.sg,64525588,http://www.orchidpri.moe.edu.sg,Government
Pei Hwa Primary School,Bishan,CENTRAL,1 Pei Hwa Road,S578986,peihwa_ps@moe.edu.sg,64585888,http://www.peihwapri.moe.edu.sg,Government-Aided
Pioneer Primary School,Jurong West,WEST,1 Pioneer Road,S628509,pioneer_ps@moe.edu.sg,65644111,http://www.pioneerpri.moe.edu.sg,Government
Angsana Primary School,Tampines,EAST,51 Tampines Street 61,S528565,angsana_ps@moe.edu.sg,65814803,http://www.angsanapri.moe.edu.sg,Government
Bedok Green Primary School,Bedok,EAST,1 Bedok South Ave 2,S469317,bedokgreen_ps@moe.edu.sg,64429122,http://www.bedokgreenpri.moe.edu.sg,Government
Bedok View Primary School,Bedok,EAST,1 Bedok View Road,S469457,bedokview_ps@moe.edu.sg,64449933,http://www.bedokviewpri.moe.edu.sg,Government
Bowen Primary School,Bedok,EAST,1 New Upper Changi Road,S467043,bowen_ps@moe.edu.sg,64476688,http://www.bowenpri.moe.edu.sg,Government
Chai Chee Primary School,Bedok,EAST,1 Chai Chee Road,S461030,chaichee_ps@moe.edu.sg,67448688,http://www.chaicheepri.moe.edu.sg,Government
Changi Primary School,Changi,EAST,1 Changi Road,S499629,changi_ps@moe.edu.sg,66424911,http://www.changipri.moe.edu.sg,Government
Chengsan Primary School,Bedok,EAST,1 Lorong Lew Lian,S468023,chengsan_ps@moe.edu.sg,64475088,http://www.chengsanpri.moe.edu.sg,Government
Damaisari Primary School,Tampines,EAST,1 Tampines Avenue 9,S528824,damaisari_ps@moe.edu.sg,65813000,http://www.damaiaripri.moe.edu.sg,Government
Dazhong Primary School,Tampines,EAST,1 Tampines Street 71,S528567,dazhong_ps@moe.edu.sg,65815111,http://www.dazhongpri.moe.edu.sg,Government
Dunman Primary School,Bedok,EAST,1 Laut Road,S449154,dunman_ps@moe.edu.sg,64427577,http://www.dunmanpri.moe.edu.sg,Government
East Spring Primary School,Pasir Ris,EAST,1 Pasir Ris Drive 4,S519457,eastspring_ps@moe.edu.sg,65840555,http://www.eastspringpri.moe.edu.sg,Government
East View Primary School,Bedok,EAST,1 Bedok Reserve Road,S469415,eastview_ps@moe.edu.sg,64449811,http://www.eastviewpri.moe.edu.sg,Government
Elias Park Primary School,Potong Pasir,EAST,1 Potong Pasir Avenue 3,S347938,eliaspark_ps@moe.edu.sg,62981411,http://www.eliasparkpri.moe.edu.sg,Government
Faith Primary School,Bedok,EAST,1 New Upper Changi Road,S467043,faith_ps@moe.edu.sg,64476600,http://www.faithpri.moe.edu.sg,Government
Geylang Methodist Primary School,Geylang,CENTRAL,1 Geylang Lorong 29,S388078,geyma_ps@moe.edu.sg,67482800,http://www.geymapri.moe.edu.sg,Government-Aided
Haig Primary School,Geylang,EAST,1 Haig Road,S369716,haig_ps@moe.edu.sg,63986888,http://www.haigpri.moe.edu.sg,Government
Horizon Primary School,Changi,EAST,1 Changi Road,S499652,horizon_ps@moe.edu.sg,66424822,http://www.horizonpri.moe.edu.sg,Government
Kee Tua Primary School,Hougang,NORTH-EAST,2 Hougang Avenue 1,S538753,keetua_ps@moe.edu.sg,62835222,http://www.ketuapri.moe.edu.sg,Government
Loyang Primary School,Pasir Ris,EAST,1 Loyang Lane,S507608,loyang_ps@moe.edu.sg,65825555,http://www.loyangpri.moe.edu.sg,Government
Nan Hua Primary School,Bedok,EAST,1 Bedok Reservoir Road,S469415,nanhua_ps@moe.edu.sg,64487888,http://www.nanhuapri.moe.edu.sg,Government
Pasir Ris Primary School,Pasir Ris,EAST,1 Pasir Ris Lane,S507608,pasirris_ps@moe.edu.sg,65824811,http://www.pasirripri.moe.edu.sg,Government
Punggol Primary School,Punggol,NORTH-EAST,1 Punggol Field,S828601,punggol_ps@moe.edu.sg,65881166,http://www.punggolpri.moe.edu.sg,Government
Sengkang Primary School,Seng Kang,NORTH,1 Sengkang Square,S545034,sengkang_ps@moe.edu.sg,68440022,http://www.sengkangpri.moe.edu.sg,Government
