School Name,Region,Science HOD Name,School Email,School Website
Admiralty Primary School,Woodlands,Not publicly listed,admiralty@moe.edu.sg,https://www.admiraltypri.moe.edu.sg
Ahmad Ibrahim Primary School,Yishun,Not publicly listed,ahmad.ibrahim@moe.edu.sg,https://www.ahmadibrahi mipri.moe.edu.sg
Anglo-Chinese School (Primary),Novena,Not publicly listed,acs.primary@moe.edu.sg,https://www.acspri.moe.edu.sg
Ai Tong School,Bishan,Not publicly listed,aitong@moe.edu.sg,https://www.aitongpri.moe.edu.sg
Alexandra Primary School,Bukit Merah,Not publicly listed,alexandra@moe.edu.sg,https://www.alexandrapri.moe.edu.sg
Anchor Green Primary School,Seng Kang,Not publicly listed,anchorgreen@moe.edu.sg,https://www.anchorgreenpri.moe.edu.sg
Anderson Primary School,Ang Mo Kio,Not publicly listed,anderson@moe.edu.sg,https://www.andersonpri.moe.edu.sg
Ang Mo Kio Primary School,Ang Mo Kio,Not publicly listed,amk@moe.edu.sg,https://www.amkpri.moe.edu.sg
Angsana Primary School,Tampines,Not publicly listed,angsana@moe.edu.sg,https://www.angsanapri.moe.edu.sg
Beacon Primary School,Bukit Panjang,Not publicly listed,beacon@moe.edu.sg,https://www.beaconpri.moe.edu.sg
Bedok Green Primary School,Bedok,Not publicly listed,bedokgreen@moe.edu.sg,https://www.bedokgreenpri.moe.edu.sg
Bendemeer Primary School,Kallang,Not publicly listed,bendemeer@moe.edu.sg,https://www.bendemeerpri.moe.edu.sg
Blangah Rise Primary School,Bukit Merah,Not publicly listed,blangarise@moe.edu.sg,https://www.blangarisepri.moe.edu.sg
Boon Lay Garden Primary School,Jurong West,Not publicly listed,boonlaygarden@moe.edu.sg,https://www.boonlaygardenp ri.moe.edu.sg
Bukit Panjang Primary School,Bukit Panjang,Not publicly listed,bukit.panjang@moe.edu.sg,https://www.bukit panjangpri.moe.edu.sg
Bukit Timah Primary School,Bukit Timah,Not publicly listed,bukit.timah@moe.edu.sg,https://www.bukittimahpri.moe.edu.sg
Bukit View Primary School,Bukit Batok,Not publicly listed,bukit.view@moe.edu.sg,https://www.bukitviewpri.moe.edu.sg
Canberra Primary School,Sembawang,Not publicly listed,canberra@moe.edu.sg,https://www.canberrapri.moe.edu.sg
Canossa Catholic Primary School,Geylang,Not publicly listed,canossa@moe.edu.sg,https://www.canossapri.moe.edu.sg
Cantonment Primary School,Tanjong Pagar,Not publicly listed,cantonment@moe.edu.sg,https://www.cantonmentpri.moe.edu.sg
Cath Primary School,Marine Parade,Not publicly listed,cath@moe.edu.sg,https://www.cathpri.moe.edu.sg
Casuarina Primary School,Jurong West,Not publicly listed,casuarina@moe.edu.sg,https://www.casuarinapri.moe.edu.sg
Catholic High School (Primary),Marine Parade,Not publicly listed,catholichs@moe.edu.sg,https://www.catholichs.pri.moe.edu.sg
Chij Katong Convent Primary,Katong,Not publicly listed,chij.katong@moe.edu.sg,https://www.chijkatongconventpri.moe.edu.sg
Chij Our Lady Of Nativity Primary,Tiong Bahru,Not publicly listed,chij.oln@moe.edu.sg,https://www.chij.oln.pri.moe.edu.sg
Chij Primary School Bishan,Bishan,Not publicly listed,chij.bishan@moe.edu.sg,https://www.chijbishan.moe.edu.sg
Chij Primary School Potong Pasir,Potong Pasir,Not publicly listed,chij.pp@moe.edu.sg,https://www.chijpp.moe.edu.sg
Chij St Nicholas Girls School,Novena,Not publicly listed,chij.nicholas@moe.edu.sg,https://www.chijnicholas.moe.edu.sg
Chij St Theresa Convent Primary,Tiong Bahru,Not publicly listed,chij.theresa@moe.edu.sg,https://www.chijtheresa.moe.edu.sg
Chingay Primary School,Woodlands,Not publicly listed,chingay@moe.edu.sg,https://www.chingaypri.moe.edu.sg
Clementi Primary School,Clementi,Not publicly listed,clementi@moe.edu.sg,https://www.clementipri.moe.edu.sg
Coral Primary School,Jurong East,Not publicly listed,coral@moe.edu.sg,https://www.coralpri.moe.edu.sg
Crescent Girls School,Tiong Bahru,Not publicly listed,crescentgirls@moe.edu.sg,https://www.crescentgirls.moe.edu.sg
Deanery Primary School,Bukit Merah,Not publicly listed,deanery@moe.edu.sg,https://www.deanerypri.moe.edu.sg
Deyi Secondary School,Bedok,Not publicly listed,deyi@moe.edu.sg,https://www.deyi.moe.edu.sg
Dong Zhuang Primary School,Jurong West,Not publicly listed,dongzhuang@moe.edu.sg,https://www.dongzhuangpri.moe.edu.sg
Dunman Primary School,Geylang,Not publicly listed,dunman@moe.edu.sg,https://www.dunmanpri.moe.edu.sg
Fairfield Methodist Primary,Fairfield,Not publicly listed,fairfield@moe.edu.sg,https://www.fairfieldmethodistpri.moe.edu.sg
Farrer Park Primary School,Farrer Park,Not publicly listed,farrer.park@moe.edu.sg,https://www.farrerparkpri.moe.edu.sg
Fernvale Primary School,Sengkang,Not publicly listed,fernvale@moe.edu.sg,https://www.fernvalepri.moe.edu.sg
Flora Primary School,Tiong Bahru,Not publicly listed,flora@moe.edu.sg,https://www.florapri.moe.edu.sg
Fuhua Primary School,Jurong East,Not publicly listed,fuhua@moe.edu.sg,https://www.fuhuapri.moe.edu.sg
Fullerton Primary School,Fullerton,Not publicly listed,fullerton@moe.edu.sg,https://www.fullertonpri.moe.edu.sg
Gan Eng Seng Primary School,Bukit Merah,Not publicly listed,gan.eng.seng@moe.edu.sg,https://www.ganesengsengpri.moe.edu.sg
Gandhi Memorial Primary,Tiong Bahru,Not publicly listed,gandhi@moe.edu.sg,https://www.gandhimemorialpri.moe.edu.sg
Geylang Methodist School Primary,Geylang,Not publicly listed,geylang.methodist@moe.edu.sg,https://www.geylangmethodistpri.moe.edu.sg
Ghim Moh Primary School,Ghim Moh,Not publicly listed,ghim.moh@moe.edu.sg,https://www.ghimmohpri.moe.edu.sg
Gongshang Primary School,Hoxton,Not publicly listed,gongshang@moe.edu.sg,https://www.gongshangpri.moe.edu.sg
Greenridge Primary School,Bukit Timah,Not publicly listed,greenridge@moe.edu.sg,https://www.greenridgepri.moe.edu.sg
Guangyang Primary School,Jurong,Not publicly listed,guangyang@moe.edu.sg,https://www.guangyangpri.moe.edu.sg
Haig Girls School,Tiong Bahru,Not publicly listed,haig.girls@moe.edu.sg,https://www.haiggirls.moe.edu.sg
Paya Lebar Methodist Girls Primary,Marine Parade,Not publicly listed,payalebar.methodist@moe.edu.sg,https://www.payalebarmethod istgirls.moe.edu.sg
Heng Mui Keng Primary School,Tiong Bahru,Not publicly listed,heng.mui.keng@moe.edu.sg,https://www.hengmuikengpri.moe.edu.sg
Henry Park Primary School,Marine Parade,Not publicly listed,henry.park@moe.edu.sg,https://www.henryparkpri.moe.edu.sg
Hillgrove Primary School,Bukit Merah,Not publicly listed,hillgrove@moe.edu.sg,https://www.hillgrovepri.moe.edu.sg
Holy Innocents Primary School,Geylang,Not publicly listed,holy.innocents@moe.edu.sg,https://www.holyinnocentspri.moe.edu.sg
