School Name,Region,School Type,Science HOD Name,Science HOD Email,School Contact Email,School Phone,School Website,Notes
Madrasah Alsagoff Al-Arabiah,Central,Madrasah,Not publicly listed,Not publicly available,admin@alsagoff.edu.sg,62945909,https://www.alsagoff.edu.sg,Department information available; staff directory shows department but not individual HOD science email
Madrasah Aljunied Al-Islamiah,North-East,Madrasah,Not publicly listed,Not publicly available,admin@aljunied.edu.sg,63915970,https://www.aljunied.edu.sg,Has STEM department page; individual staff emails not publicly listed
Madrasah Al-Ma'arif Al-Islamiah,East,Madrasah,Not publicly listed,Not publicly available,admin@almaarif.edu.sg,67479835,https://almaarif.edu.sg,Contact via main email
Madrasah Irsyad Zuhri Al-Islamiah,North,Madrasah,Not publicly listed,Not publicly available,info@irsyad.sg,64787133,https://irsyad.sg,Contact via main email
Madrasah Al-Arabiah Al-Islamiah,Central,Madrasah,Not publicly listed,Not publicly available,admin@mai.sg,67444749,https://www.mai.edu.sg,Contact via main email
Madrasah Wak Tanjong Al-Islamiah,East,Madrasah,Not publicly listed,Not publicly available,mwti@mwti.edu.sg,67410131,https://mwti.edu.sg,Contact via main email
Fuhua Primary School,West,Primary School,Ms Li Qinfang,Not publicly available,fhps@moe.edu.sg,65624370,https://www.fuhuapri.moe.edu.sg,HOD Science name found in staff directory; email not publicly listed
Ang Mo Kio Primary School,North-East,Primary School,Not listed in accessible format,Not publicly available,amkps@moe.edu.sg,Not listed,https://www.angmokiopri.moe.edu.sg,"Staff directory exists but individual HOD Science name not clearly visible in public pages; contact main email"
Pathlight School,North-East,Special Education,Not publicly listed,Not publicly available,Contact via website,6459 9951,https://www.pathlight.org.sg,PSLE program available; individual staff emails not publicly displayed on website
CPASS East,East,Special Education,Not publicly listed,Not publicly available,Contact school,Contact school,https://cpas.org.sg/cpas-school/,PSLE program available; need to contact directly for HOD details
